run_id,architecture,scenario_tag,exit_closed,CIR_event,DOC,Ttravel_s,Tdelay_s,LMS_m,exit_commit_ratio,hold_ratio,merge_back_ratio,unsafe_commit_ratio,first_exit_commit_distance_m,first_merge_back_distance_m,mean_z_exit_prior,mean_z_temp_ctrl,mean_z_boundary,mean_z_conflict,mean_b_exit,total_cost,unsafe_exit_commit_cost,late_mergeback_cost,unnecessary_reroute_cost,oscillation_cost,efficiency_cost
69,mitigation,partial_redirect_conflict,True,0.0,7,4.999999999999998,0.5937911058001077,0.0,0.0,0.08,0.4,0.0,,27.50016566700565,0.535904145403657,0.31861006181584767,0.2146417697387263,0.2510072405223175,0.24378780304755657,0.9600008038835869,0.0,0.0,0.0,0.7000000000000001,0.5200016077671735
70,camera_only,closed_transition_conflict,True,1.0,3,4.699999999999999,0.33397028881891,25.0,0.10638297872340426,0.3617021276595745,0.0,0.02127659574468085,34.54414372584018,,0.571797465571339,0.3645806473225053,0.2400497665861755,0.2850651685912617,0.4165891301628607,5.431152211530681,0.1,1.0,0.0,0.30000000000000004,0.2623044230613622
70,multi_sensor_permissive,closed_transition_conflict,True,0.0,5,4.799999999999999,0.43397028881890964,0.0,0.0,0.125,0.3125,0.0,,23.18828036733489,0.5678362372987288,0.3651514210821308,0.2445458433267976,0.2870757112772697,0.3318104913739072,0.7015854211537009,0.0,0.0,0.0,0.5,0.4031708423074017
70,mitigation,closed_transition_conflict,True,0.0,5,4.899999999999999,0.5339702888189093,0.0,0.0,0.08163265306122448,0.3877551020408163,0.0,,26.97986067765945,0.5654449833452616,0.364620551254061,0.2514605582333532,0.28935401689907647,0.22854404527247651,0.749255481358575,0.0,0.0,0.0,0.5,0.49851096271715023
71,camera_only,closed_transition_conflict,True,1.0,5,4.4,0.2716428940516664,25.0,0.1590909090909091,0.3181818181818182,0.0,0.045454545454545456,35.75642459808921,,0.6470595797443258,0.29765457520855154,0.19922299068311536,0.253026905230777,0.5001296680702438,5.012222095553239,0.2,0.6000000000000001,0.0,0.5,0.22444419110647906
71,multi_sensor_permissive,closed_transition_conflict,True,0.0,7,4.5,0.37164289405166606,1.5104359092608988,0.0,0.17777777777777778,0.24444444444444444,0.0,,18.4895640907391,0.6428287950054271,0.3008550601843778,0.19712389883392933,0.2519628875098504,0.40274369255073383,0.8761934329746883,0.0,0.0,0.0,0.7000000000000001,0.35238686594937696
71,mitigation,closed_transition_conflict,True,0.0,3,4.6,0.4716428940516657,0.0,0.0,0.021739130434782608,0.391304347826087,0.0,,27.35369949928976,0.6325247082946375,0.3071945866148404,0.20947856237754223,0.2529883854486165,0.28389566183004245,0.50621837335284,0.0,0.0,0.0,0.30000000000000004,0.41243674670568
72,camera_only,open_valid_exit,False,0.0,2,4.5,0.21518090816829627,,0.4666666666666667,0.0,0.0,0.0,35.54967083598867,,0.6958414640897881,0.061338552969767465,0.06606034662054118,0.14068796545906173,0.6073166524377287,0.2751878313715096,0.0,0.0,0.0,0.2,0.15037566274301906
72,multi_sensor_permissive,open_valid_exit,False,0.0,7,4.5,0.21518090816829627,,0.24444444444444444,0.0,0.0,0.0,23.508955945591683,,0.6930088557677507,0.05589620128273236,0.0692803456093078,0.14477161799214805,0.5095340280779006,0.7882207958139162,0.0,0.0,0.0,0.7000000000000001,0.17644159162783224
72,mitigation,open_valid_exit,False,0.0,3,4.699999999999999,0.41518090816829556,,0.10638297872340426,0.0,0.2765957446808511,0.0,27.483130896523363,18.827473708613024,0.6812023230512206,0.05838181461046235,0.07038881792153448,0.14385053903735195,0.3904955170856022,3.0708945998810213,0.0,0.0,1.3,0.30000000000000004,0.3417891997620422
