seed,scenario,mode,pbs,false_brake_frames,ghost_track_persistence_s,peak_jerk,min_accel,travel_time_s,avg_speed,speed_efficiency_ratio,reached_goal,min_ttc_virtual,cfg_total_time_s,cfg_x_goal,cfg_ghost_world_x,cfg_visible_back_margin,cfg_visible_front_margin,cfg_reflection_strength,cfg_noise_scale,cfg_init_speed,cfg_slope,evr,barrier_collision,crossed_door,stop_time_ratio,min_stop_margin_m,unknown_at_ref,risk_at_ref,final_progress_m,cfg_x_goal_margin_after_door,cfg_cell_size_m,cfg_door_col,cfg_door_half_height_cells,cfg_transparency,cfg_depth_void_span_m
14,A1,camera_only,1.6058980056686114,0,14.100000000000001,10.473427641567211,-2.2271809950154084,15.492949956667335,2.9472951514417995,0.36841189393022494,0,0.121565407611115,15.492949956667335,61.60946666834256,45.838350278148766,9.160712719915567,35.69580976945797,0.8625744342914616,1.3479664091515142,8.790785956600102,-0.0032831246089148006,,,,,,,,,,,,,,
14,A2,camera_only,,,,3.271133317573569,,4.7,4.991213908316114,,0,,20.14852416000456,,,,,,1.0889450183587501,3.5215475909663705,-0.03255352466836512,1.0,1,1,0.0,0.0,0.0,0.0,23.875604706031936,9.485289440365246,0.6888989486794876,34.0,3.0,0.9113748571528935,8.250970904235944
14,A1,multimodal_permissive,1.5387368744572778,0,14.0,26.000017288237327,-2.2271809950154084,15.492949956667335,3.2380888806000976,0.4047611100750122,0,0.0022465679512606584,15.492949956667335,61.60946666834256,45.838350278148766,9.160712719915567,35.69580976945797,0.8625744342914616,1.3479664091515142,8.790785956600102,-0.0032831246089148006,,,,,,,,,,,,,,
14,A2,multimodal_permissive,,,,3.271133317573569,,4.7,4.991213908316114,,0,,20.14852416000456,,,,,,1.0889450183587501,3.5215475909663705,-0.03255352466836512,0.9614444605097868,1,1,0.0,0.0,4.0122522222950714e-35,0.0,23.875604706031936,9.485289440365246,0.6888989486794876,34.0,3.0,0.9113748571528935,8.250970904235944
14,A1,mitigation,0.7161144770676315,0,0.2,13.12478453225605,-2.2271809950154084,7.7,8.000999915015642,1.0001249893769553,1,0.030783819939408784,15.492949956667335,61.60946666834256,45.838350278148766,9.160712719915567,35.69580976945797,0.8625744342914616,1.3479664091515142,8.790785956600102,-0.0032831246089148006,,,,,,,,,,,,,,
14,A2,mitigation,,,,65.0,,20.0,1.1180264504972959,,0,,20.14852416000456,,,,,,1.0889450183587501,3.5215475909663705,-0.03255352466836512,0.053687888665435994,0,0,0.7412935323383084,1.5623833701709238,0.8750706682008519,1.0,21.823414320683064,9.485289440365246,0.6888989486794876,34.0,3.0,0.9113748571528935,8.250970904235944
15,A1,camera_only,1.606424256274138,0,14.200000000000001,26.000000867670774,-1.606424256274138,15.078230103895457,2.721778275548871,0.34022228444360886,0,0.014454005127078062,15.078230103895457,66.15817111336058,40.82169460909999,4.269029054142512,34.859167084404774,0.7580238109481353,1.3109556703441505,7.8633912601896,-0.0042990324391128714,,,,,,,,,,,,,,
15,A2,camera_only,,,,1.4790383331829426,,5.5,5.037488977358846,,0,,22.367658380645963,,,,,,0.7655769464688433,4.667551717675583,-0.01322898199801037,1.0,1,1,0.0,0.0,0.0,0.0,28.189941802803265,9.625864111088124,0.7981306063369566,35.0,3.0,0.9648215542723322,6.15870063941907
15,A1,multimodal_permissive,1.539200711938797,0,13.100000000000001,26.000245419466104,-1.539200711938797,15.078230103895457,3.401806825701738,0.4252258532127173,0,0.0098503020490881,15.078230103895457,66.15817111336058,40.82169460909999,4.269029054142512,34.859167084404774,0.7580238109481353,1.3109556703441505,7.8633912601896,-0.0042990324391128714,,,,,,,,,,,,,,
15,A2,multimodal_permissive,,,,1.4790383331829426,,5.5,5.037488977358846,,0,,22.367658380645963,,,,,,0.7655769464688433,4.667551717675583,-0.01322898199801037,0.9459742184725294,1,1,0.0,0.0,7.87817974967203e-37,0.0,28.189941802803265,9.625864111088124,0.7981306063369566,35.0,3.0,0.9648215542723322,6.15870063941907
15,A1,mitigation,0.5863979203437306,0,0.1,10.033738526539437,-0.5863979203437306,8.200000000000001,8.000134010009512,1.000016751251189,1,0.01796481165669607,15.078230103895457,66.15817111336058,40.82169460909999,4.269029054142512,34.859167084404774,0.7580238109481353,1.3109556703441505,7.8633912601896,-0.0042990324391128714,,,,,,,,,,,,,,
15,A2,mitigation,,,,65.0,,22.200000000000003,1.2071248071339244,,0,,22.367658380645963,,,,,,0.7655769464688433,4.667551717675583,-0.01322898199801037,0.07907633348340593,0,0,0.7174887892376681,1.3311250266682357,0.8648186590201562,1.0,26.568137490620966,9.625864111088124,0.7981306063369566,35.0,3.0,0.9648215542723322,6.15870063941907
16,A1,camera_only,1.6232288881670167,0,11.600000000000001,26.041988667388907,-2.796173375166468,14.3,4.409472299508542,0.5511840374385677,1,0.06779460818015057,14.700750516638095,62.307441454901856,37.31703355646134,6.088477302615972,35.458108460568155,0.7256303008275047,1.4434375212537072,9.135123828817356,-0.04556957842117152,,,,,,,,,,,,,,
16,A2,camera_only,,,,0.20308868775195027,,6.300000000000001,4.903643586672355,,0,,21.413315295762473,,,,,,1.5648387564047574,4.954954963249843,0.019595432039184034,1.0,1,1,0.0,0.0,0.0,0.0,31.386064710581643,7.239180645947394,0.7773873480858031,40.0,2.0,0.8998211365556493,5.817940811611185
16,A1,multimodal_permissive,4.139852704498501,1,10.700000000000001,67.398527044985,-4.139852704498501,13.5,4.854153363594332,0.6067691704492915,1,0.040665429409890326,14.700750516638095,62.307441454901856,37.31703355646134,6.088477302615972,35.458108460568155,0.7256303008275047,1.4434375212537072,9.135123828817356,-0.04556957842117152,,,,,,,,,,,,,,
16,A2,multimodal_permissive,,,,0.20308868775195027,,6.300000000000001,4.903643586672355,,0,,21.413315295762473,,,,,,1.5648387564047574,4.954954963249843,0.019595432039184034,0.9028959550265382,1,1,0.0,0.0,2.186106278556741e-36,0.0,31.386064710581643,7.239180645947394,0.7773873480858031,40.0,2.0,0.8998211365556493,5.817940811611185
16,A1,mitigation,0.1863050925660072,0,0.0,7.9890667861899285,-2.796173375166468,7.6000000000000005,8.165706108413113,1.0207132635516392,1,0.04894117266567255,14.700750516638095,62.307441454901856,37.31703355646134,6.088477302615972,35.458108460568155,0.7256303008275047,1.4434375212537072,9.135123828817356,-0.04556957842117152,,,,,,,,,,,,,,
